"id","inspectorate","province","date","calculate_natsum","calculate_aqusum","calculate_totalsum","calculate_sumpro","fisher_fishermen","fisher_fisherwomen","fisher_fishfarmer","fisher_fishfarmerwomen","fisher_pond","fisher_pondsize","fisher_processor","fisher_processwomen","xformidstring","uuid","status","geolocation","calculatepatrol_sumcrime","calculatepatrol_sumexhibit","calculatepatrol_sumenforce","calculate001_sumcrime","calculate001_sumexhibit","calculate001_sumenforce","law_enforcement","law_amount","calculate_sumnatural","calculate_sumaqualculture","calculate_totalnaturalaqaulculture","calculate_sumprocessing"
440255710,5,"23","2023-03-15",797,12,809,150,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","f3472fe2-0cd4-4e6e-a105-88d94e299c3e","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440256092,5,"23","2023-04-15",410,14,424,160,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","a4c189be-4368-43bf-939b-d80f58e57313","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440256265,5,"23","2023-05-15",393,12,405,160,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","8d5199bb-070b-40b4-b174-66ebacaf4ba9","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440257466,1,"11","2023-04-14",46,3,49,0,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","c579788c-3f6a-49a8-a3b0-0cfd4b1fea08","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440257476,1,"11","2023-05-12",49,3,52,0,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","79934343-afe0-4f8a-ae10-73e2b7ba9dac","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440257480,1,"11","2023-06-16",59,3,62,0,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","19f5c7a0-2d8d-4619-91d8-d70723a3fc78","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440625986,3,"5","2023-06-16",103,120,223,0,30765,6153,1468,612,1719,196.8,1,1,"aLQEf7RcyAYyquCRdDCr4J","9fc3ab1f-771e-415a-825a-1a7b4b304ca1","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440813957,4,"6","2023-06-30",2027,1980,4007,863,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","01437e11-51e2-40f5-a54b-5984675061d4","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441382067,3,"4","2023-06-15",1230,150,1380,240,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","0a5db140-ce0a-452c-926d-57ade4e9ce87","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441847791,5,"18","2023-06-30",1129,1098,2227,25,NA,NA,0,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","1e0f78e3-4025-460e-9668-0d5b48182d3d","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441848086,4,"6","2023-02-06",1031,355,1386,193,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","55a8947d-5df1-48b2-9ed1-9d6120846a47","submitted_via_web","null, null",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
442054452,4,"6","2023-02-13",1066,449,1515,245,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","1d42b0d9-e584-4bc1-b4ff-a521dd61863b","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442387044,3,"15","2023-06-16",230,222,452,6,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","b9fd79f1-4dd2-4cf5-afe1-32813748f56f","submitted_via_web","null, null",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
442388749,3,"15","2023-02-03",800,367,1167,9,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","b4f60aca-81da-41a3-b6b8-67ca97a29eab","submitted_via_web","null, null",7,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
442389728,3,"15","2023-02-17",800,368,1168,13,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","646ee57b-f9bc-46c1-95d2-1fa0fb31a2b9","submitted_via_web","null, null",2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
442391765,3,"15","2023-02-27",800,368,1168,16,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","7719bbc5-c6df-44f2-9f85-aedb6fb84ea8","submitted_via_web","null, null",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
442392276,4,"6","2023-02-20",986,480,1466,322,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","9498f2d0-8e23-4adb-bebf-b40680c4c60a","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442392619,3,"15","2023-02-28",800,367,1167,18,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","95fb75a5-a87e-4a46-adcf-c652b3898c2c","submitted_via_web","null, null",2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
442397590,3,"15","2023-03-10",675,706,1381,11,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","4ffec18e-af2f-45c1-9c90-871443b59ea2","submitted_via_web","null, null",9,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
442398410,1,"10","2023-01-31",473,215,688,1,9900,2970,354,106,213,12,52,16,"aLQEf7RcyAYyquCRdDCr4J","35d825b5-77d1-4d01-8c3c-375974067eb6","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442399309,1,"10","2023-02-28",474,230,704,1,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","750b95a6-4950-47c8-9015-4e309576424a","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442399313,3,"15","2023-03-17",675,700,1375,11,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","1ab40a84-e350-44c9-9090-ae92108fd5b6","submitted_via_web","null, null",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
442401776,3,"15","2023-03-24",675,706,1381,10,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","26952625-d9eb-4e08-95d2-b11c6b2ffdc0","submitted_via_web","null, null",2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
442403319,3,"15","2023-03-31",675,775,1450,13,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","7a8adf7b-9c59-4e87-83c3-e7b9abd67217","submitted_via_web","null, null",5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
442407668,4,"6","2023-02-28",979,442,1421,270,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","1bcab2c5-223d-47de-9003-f785b1c4e2db","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442417388,5,"23","2023-06-15",350,10,360,157,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","bc15aba5-ecbf-440a-a754-52852dbd9ca9","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442433998,5,"18","2023-06-23",1381,105,1486,35,NA,NA,0,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","47d0595b-3eb5-419d-9bbe-00752137da5c","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442487297,1,"19","2023-01-16",616,4,620,49,2683,1190,74,NA,NA,NA,61,NA,"aLQEf7RcyAYyquCRdDCr4J","b8847879-4ab7-4671-bc76-451fb3efb6c5","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442495211,1,"19","2023-02-16",475,8,483,39,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","cd790b75-866d-43bf-97e7-bd9f15a6ff5d","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442499772,1,"19","2023-03-16",317,9,326,40,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","78d7275d-6f0a-43a5-bf04-5a2d8d2f5b7b","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442511262,1,"19","2023-04-16",277,8,285,38,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","deefb82f-e093-469b-9a26-f82ebeeadadb","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442524492,3,"15","2023-04-07",708,245,953,101,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","8b660deb-bae6-4d05-aec3-43d70c1f2bed","submitted_via_web","null, null",4,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
442527558,3,"15","2023-04-13",706,250,956,51,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","9ad1817f-60f0-4999-a2b4-c8753866f2a8","submitted_via_web","null, null",4,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
442530108,3,"15","2023-04-21",707,245,952,105,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","91933cf3-8496-4c73-b41a-a0445e65f235","submitted_via_web","null, null",4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
442534638,3,"15","2023-04-28",708,245,953,101,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","5bb94940-2439-4499-812f-add3dba929d4","submitted_via_web","null, null",4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
442542855,4,"6","2023-03-10",1165,832,1997,298,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","246f273e-dce4-44a3-a142-aa10c1b22c32","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442543281,4,"6","2023-03-03",1045,668,1713,252,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","7038a831-df60-4850-b75d-cd7357bea40a","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442941185,1,"19","2023-06-16",277,9,286,30,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","6e231c0d-83ce-4bd0-b5cd-aaf1cf1d50b6","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443091646,4,"6","2023-03-24",1066,802,1868,267,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","c86ca410-68c0-4667-9056-11f780b5d73c","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443260438,2,"14","2023-06-17",90,511,601,187,NA,NA,9385,NA,9220,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","43f710ff-1301-4327-858c-b51a7ff0923a","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443452127,4,"6","2023-03-30",1027,466,1493,317,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","0956fd87-fead-4dd4-b7c2-832194cd29f1","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443453699,2,"21","2023-06-23",393,404,797,46,49800,1350,9155,1373,23000,575,1950,1365,"aLQEf7RcyAYyquCRdDCr4J","3aa9efbd-efce-4b50-8930-80cc65ef7ab6","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443455332,4,"6","2023-04-07",1115,512,1627,296,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","2d85c37e-f75d-461c-a4cc-fb738fe89b77","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443462964,3,"4","2023-06-23",303,0,303,49,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","80ca5b1c-8669-4a81-8e9f-1c285d5b18c0","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443463991,4,"6","2023-04-12",413,461,874,291,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","9b9cd177-685f-4b40-b779-d9513daa1fe6","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443472475,1,"11","2023-09-08",15,1,16,0,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","5dc06b20-7ead-457c-9e56-ed978e3120bb","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443520309,4,"6","2023-04-20",658,548,1206,301,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","dba05aca-11e9-4c39-be6f-02c81cd55ed7","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443537930,4,"6","2023-04-28",906,520,1426,276,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","92e16f1b-6de9-4ade-b9b9-39827da2adad","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443552899,4,"1","2023-01-31",2542,618,3160,53,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","659d69de-406c-4c14-9b11-ad976241d9cb","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443559480,3,"24","2023-06-23",0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","7109fa9f-de72-431f-9ebe-f5f3a6dd21a6","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443560040,4,"1","2023-02-28",1710,386,2096,33,NA,NA,316,0,442,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","60debfd9-4f52-4429-9b75-36548c95000c","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443576064,3,"5","2023-01-31",415,0,415,21,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","6285f1af-938c-4fa5-af79-d4221f54d5f6","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443578738,4,"1","2023-03-31",792,192,984,16,NA,NA,316,NA,442,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","50873d3d-fd5c-47c9-ab4b-0d7f48658b46","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443580061,3,"5","2023-02-28",506,0,506,40,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","77e3ecf4-24c6-474f-a99e-8f14101a3f50","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443584023,3,"5","2023-03-31",497,0,497,0,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","ddbb29fe-634a-465c-b060-d713bb866ba4","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443586635,3,"5","2023-04-30",396,93,489,0,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","8129b6a2-58ab-4fb0-89dc-5f3096b70a17","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443588295,2,"12","2023-06-23",21,1910,1931,415,0,0,65,10,166,103,11,2,"aLQEf7RcyAYyquCRdDCr4J","5a2b242d-6937-4e4a-8d4b-3b0d2da0664f","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443590641,3,"5","2023-05-31",315,343,658,0,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","679699ec-7a11-4959-937f-1dfad4570096","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443596490,3,"5","2023-06-15",502,416,918,0,NA,NA,NA,NA,NA,NA,NA,NA,"aLQEf7RcyAYyquCRdDCr4J","e3cffd5e-4321-4488-98e4-d5e2dd921876","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443596977,4,"1","2023-06-23",467,113,580,9,83610,NA,4400,NA,550,NA,610,NA,"aLQEf7RcyAYyquCRdDCr4J","466ee12c-2ee3-40e0-a4bc-48b450a52713","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443648464,1,"16","2023-06-22",22,3,25,1,20000,2000,286,15,286,28600,200,200,"aLQEf7RcyAYyquCRdDCr4J","f76f258b-0e3e-42fb-a081-9389c2f3979b","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443661771,1,"16","2023-01-15",145,30,175,2,18000,5000,286,20,300,30000,200,190,"aLQEf7RcyAYyquCRdDCr4J","47d15176-6284-4a17-a5f7-aa64ffc32a63","submitted_via_web","null, null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
