"id","aqufishcatch_areaaqu","aqufishcatch_aqufishtype","aqufishcatch_aqucatch","aqufishcatch_aquprice","aqufishcatch_aqutype","date","province","uuid"
439270488,1,"39",663,6000,"ponds pool plastic","2023-03-15",21,NA
439270488,1,"8",451,8000,"ponds","2023-03-15",21,NA
439270488,1,"30",557,5000,"ponds","2023-03-15",21,NA
439270488,1,"6",477,12000,"ponds","2023-03-15",21,NA
439270488,1,"888",345,7000,"ponds","2023-03-15",21,NA
439270488,1,"77",159,9000,"pool plastic","2023-03-15",21,NA
439275174,1,"39",228,6000,"ponds plastic","2023-04-15",21,NA
439275174,1,"8",139,7000,"ponds","2023-04-15",21,NA
439275174,1,"30",218,5000,"ponds","2023-04-15",21,NA
439275174,1,"6",208,10000,"ponds","2023-04-15",21,NA
439275174,1,"888",139,8000,"ponds","2023-04-15",21,NA
439275174,1,"59",59,8000,"ponds","2023-04-15",21,NA
439278097,1,"39",316,5000,"ponds plastic","2023-05-15",21,NA
439278097,1,"8",194,8000,"ponds","2023-05-15",21,NA
439278097,1,"30",260,5000,"ponds","2023-05-15",21,NA
439278097,1,"6",192,12000,"ponds","2023-05-15",21,NA
439278097,1,"888",102,8000,"ponds","2023-05-15",21,NA
439278097,1,"77",57,10000,"pool plastic","2023-05-15",21,NA
439732018,1,"8",3,10000,"ponds","2023-06-15",24,NA
439732018,1,"6",2,11000,"ponds","2023-06-15",24,NA
439732018,1,"39",2,8000,"ponds","2023-06-15",24,NA
439732018,1,"77",1,12000,"plastic","2023-06-15",24,NA
439873152,1,"39",10,7000,"ponds pool plastic","2023-05-16",19,NA
440230942,1,"90",2,6000,"ponds pool plastic","2023-06-16",16,NA
440234778,1,"30",109,7000,"ponds","2023-06-16",21,NA
440234778,1,"6",68,10000,"ponds","2023-06-16",21,NA
440234778,1,"39",41,5000,"ponds pool","2023-06-16",21,NA
440234778,1,"888",27,7000,"ponds","2023-06-16",21,NA
440234778,1,"8",14,7000,"ponds","2023-06-16",21,NA
440234778,1,"77",14,10000,"pool plastic","2023-06-16",21,NA
440238569,1,"8",10,8000,"ponds batches","2023-05-31",4,NA
440238569,1,"39",2,5000,"ponds","2023-05-31",4,NA
440238569,1,"6",10,8000,"ponds batches","2023-05-31",4,NA
440238569,1,"78",2,20000,"pool","2023-05-31",4,NA
440238569,1,"30",50,5000,"ponds batches","2023-05-31",4,NA
440238569,1,"59",25,9000,"ponds batches","2023-05-31",4,NA
440238569,1,"12",5,12000,"ponds","2023-05-31",4,NA
440238569,1,"42",3,8000,"ponds","2023-05-31",4,NA
440238569,1,"888",15,15000,"batches","2023-05-31",4,NA
440238569,1,"46",2,8000,"batches","2023-05-31",4,NA
440238569,1,"77",1,10000,"pool plastic","2023-05-31",4,NA
440238569,1,"24",25,10000,"ponds batches","2023-05-31",4,NA
440248651,1,"6",0,8000,"ponds","2023-01-13",11,NA
440248651,1,"30",1,8000,"ponds","2023-01-13",11,NA
440248651,1,"39",1,8000,"ponds pool plastic","2023-01-13",11,NA
440248651,1,"59",0,8000,"ponds","2023-01-13",11,NA
440248651,1,"888",1,25000,"ponds pool plastic","2023-01-13",11,NA
440251070,1,"6",0,8000,"ponds","2023-02-14",11,NA
440251070,1,"30",1,8000,"ponds","2023-02-14",11,NA
440251070,1,"39",1,8000,"ponds pool plastic","2023-02-14",11,NA
440251070,1,"888",1,25000,"pool plastic","2023-02-14",11,NA
440252989,1,"6",0,8000,"ponds","2023-03-14",11,NA
440252989,1,"30",1,8000,"ponds","2023-03-14",11,NA
440252989,1,"39",1,8000,"ponds pool plastic","2023-03-14",11,NA
440252989,1,"59",0,8000,"ponds","2023-03-14",11,NA
440252989,1,"888",2,25000,"pool plastic","2023-03-14",11,NA
440255461,1,"49",3,12000,"ponds","2023-01-13",23,NA
440255461,1,"39",5,8000,"ponds pool plastic","2023-01-13",23,NA
440255461,1,"6",2,12000,"ponds","2023-01-13",23,NA
440255461,1,"30",1,10000,"ponds","2023-01-13",23,NA
440255461,1,"77",2,12000,"pool plastic","2023-01-13",23,NA
440255461,2,"FM003",5,14000,"ponds batches","2023-01-13",23,NA
440255461,2,"FM023",1,35000,"ponds other","2023-01-13",23,NA
440255466,1,"49",3,12000,"ponds","2023-02-15",23,NA
440255466,1,"39",4,8000,"ponds pool plastic","2023-02-15",23,NA
440255466,1,"6",2,12000,"ponds","2023-02-15",23,NA
440255466,1,"30",1,10000,"ponds","2023-02-15",23,NA
440255466,1,"77",2,12000,"pool plastic","2023-02-15",23,NA
440255466,2,"FM003",4,14000,"ponds batches","2023-02-15",23,NA
440255466,2,"FM023",1,35000,"ponds other","2023-02-15",23,NA
440255710,1,"49",2,12000,"ponds","2023-03-15",23,NA
440255710,1,"39",3,8000,"ponds pool plastic","2023-03-15",23,NA
440255710,1,"6",1,12000,"ponds","2023-03-15",23,NA
440255710,1,"30",1,10000,"ponds","2023-03-15",23,NA
440255710,1,"77",1,12000,"pool plastic","2023-03-15",23,NA
440255710,2,"FM003",3,14000,"ponds batches","2023-03-15",23,NA
440255710,2,"FM023",1,35000,"ponds other","2023-03-15",23,NA
440256092,1,"49",3,12000,"ponds","2023-04-15",23,NA
440256092,1,"39",4,8000,"ponds pool plastic","2023-04-15",23,NA
440256092,1,"6",2,12000,"ponds","2023-04-15",23,NA
440256092,1,"30",1,10000,"ponds","2023-04-15",23,NA
440256092,1,"77",2,12000,"pool plastic","2023-04-15",23,NA
440256092,2,"FM003",2,14000,"ponds batches","2023-04-15",23,NA
440256092,2,"FM023",1,35000,"ponds other","2023-04-15",23,NA
440256265,1,"49",2,12000,"ponds","2023-05-15",23,NA
440256265,1,"39",4,8000,"ponds pool plastic","2023-05-15",23,NA
440256265,1,"6",2,12000,"ponds","2023-05-15",23,NA
440256265,1,"30",1,10000,"ponds","2023-05-15",23,NA
440256265,1,"77",2,12000,"pool plastic","2023-05-15",23,NA
440256265,2,"FM003",2,14000,"ponds batches","2023-05-15",23,NA
440256265,2,"FM023",0,35000,"ponds other","2023-05-15",23,NA
440257466,1,"30",1,8000,"ponds","2023-04-14",11,NA
440257466,1,"39",1,8000,"ponds pool plastic","2023-04-14",11,NA
440257466,1,"888",1,25000,"pool plastic","2023-04-14",11,NA
440257466,1,"59",0,8000,"ponds","2023-04-14",11,NA
440257476,1,"6",0,8000,"ponds","2023-05-12",11,NA
440257476,1,"30",1,8000,"ponds","2023-05-12",11,NA
440257476,1,"39",1,8000,"ponds pool plastic","2023-05-12",11,NA
440257476,1,"59",1,8000,"ponds","2023-05-12",11,NA
440257476,1,"888",1,25000,"pool plastic","2023-05-12",11,NA
440257480,1,"6",0,8000,"ponds","2023-06-16",11,NA
440257480,1,"30",1,8000,"ponds","2023-06-16",11,NA
440257480,1,"39",1,8000,"ponds pool plastic","2023-06-16",11,NA
440257480,1,"59",1,8000,"ponds","2023-06-16",11,NA
440257480,1,"888",1,25000,"pool plastic","2023-06-16",11,NA
440625986,1,"89",120,10000,"ponds field pool plastic","2023-06-16",5,NA
440813957,1,"75",50,10000,"ponds batches","2023-06-30",6,NA
440813957,1,"6",500,7000,"ponds","2023-06-30",6,NA
440813957,1,"30",600,6000,"ponds batches","2023-06-30",6,NA
440813957,1,"8",500,7000,"ponds","2023-06-30",6,NA
440813957,1,"39",330,6500,"ponds plastic","2023-06-30",6,NA
441382067,1,"8",12,8000,"ponds batches","2023-06-15",4,NA
441382067,1,"39",3,5000,"ponds pool","2023-06-15",4,NA
441382067,1,"68",7,8000,"batches","2023-06-15",4,NA
441382067,1,"78",3,20000,"pool","2023-06-15",4,NA
441382067,1,"30",40,5000,"ponds batches","2023-06-15",4,NA
441382067,1,"59",46,9000,"ponds batches","2023-06-15",4,NA
441382067,1,"24",20,10000,"ponds batches","2023-06-15",4,NA
441382067,1,"12",3,12000,"batches","2023-06-15",4,NA
441382067,1,"42",4,8000,"soung","2023-06-15",4,NA
441382067,1,"888",10,15000,"batches","2023-06-15",4,NA
441382067,1,"77",2,10000,"pool plastic","2023-06-15",4,NA
441847791,1,"24",5,15000,"ponds","2023-06-30",18,NA
441847791,1,"46",8,8000,"ponds","2023-06-30",18,NA
441847791,1,"8",5,12000,"ponds","2023-06-30",18,NA
441847791,1,"39",8,12000,"ponds pool","2023-06-30",18,NA
441847791,1,"77",5,15000,"pool","2023-06-30",18,NA
441847791,2,"FM023",5,30000,"soung","2023-06-30",18,NA
441847791,2,"FM046",1025,30000,"ponds","2023-06-30",18,NA
441847791,2,"FM003",38,25000,"batches","2023-06-30",18,NA
441848086,1,"24",21,1000,"ponds","2023-02-06",6,NA
441848086,1,"75",17,10000,"ponds batches","2023-02-06",6,NA
441848086,1,"6",43,7000,"ponds","2023-02-06",6,NA
441848086,1,"30",97,5500,"ponds batches","2023-02-06",6,NA
441848086,1,"59",83,6000,"ponds batches","2023-02-06",6,NA
441848086,1,"39",89,6000,"ponds plastic","2023-02-06",6,NA
441848086,1,"8",5,7000,"ponds plastic","2023-02-06",6,NA
442054452,1,"24",36,10000,"ponds","2023-02-13",6,NA
442054452,1,"75",35,9000,"ponds batches","2023-02-13",6,NA
442054452,1,"6",11,7000,"ponds","2023-02-13",6,NA
442054452,1,"30",164,5000,"ponds","2023-02-13",6,NA
442054452,1,"39",78,7000,"ponds plastic","2023-02-13",6,NA
442054452,1,"8",10,7000,"ponds","2023-02-13",6,NA
442054452,1,"59",116,6500,"ponds","2023-02-13",6,NA
442387044,1,"39",50,10000,"ponds batches","2023-06-16",15,NA
442387044,1,"30",50,12000,"ponds batches","2023-06-16",15,NA
442387044,1,"75",70,19000,"ponds batches pool","2023-06-16",15,NA
442387044,1,"6",10,11000,"pool plastic","2023-06-16",15,NA
442387044,1,"90",42,8000,"ponds batches pool","2023-06-16",15,NA
442388749,1,"90",367,15000,"ponds batches","2023-02-03",15,NA
442389728,1,"90",368,10000,"ponds batches","2023-02-17",15,NA
442391765,1,"90",368,15000,"ponds batches","2023-02-27",15,NA
442392276,1,"24",30,10000,"ponds","2023-02-20",6,NA
442392276,1,"75",29,10000,"ponds batches","2023-02-20",6,NA
442392276,1,"6",18,7000,"ponds","2023-02-20",6,NA
442392276,1,"30",186,7000,"ponds","2023-02-20",6,NA
442392276,1,"39",94,6000,"ponds plastic","2023-02-20",6,NA
442392276,1,"8",7,7000,"ponds","2023-02-20",6,NA
442392276,1,"59",118,7000,"ponds","2023-02-20",6,NA
442392619,1,"90",367,15000,"ponds batches","2023-02-28",15,NA
442397590,1,"30",176,14000,"ponds batches","2023-03-10",15,NA
442397590,1,"39",180,15000,"plastic","2023-03-10",15,NA
442397590,1,"75",350,18000,"ponds batches","2023-03-10",15,NA
442398410,1,"90",215,8000,"ponds batches pool plastic","2023-01-31",10,NA
442399309,1,"90",230,8000,"ponds batches pool plastic","2023-02-28",10,NA
442399313,1,"30",200,16000,"batches","2023-03-17",15,NA
442399313,1,"39",170,17000,"ponds","2023-03-17",15,NA
442399313,1,"75",330,22000,"ponds","2023-03-17",15,NA
442401776,1,"30",176,16000,"batches","2023-03-24",15,NA
442401776,1,"39",170,18000,"ponds","2023-03-24",15,NA
442401776,1,"75",360,22000,"ponds batches plastic","2023-03-24",15,NA
442403319,1,"30",240,16000,"batches","2023-03-31",15,NA
442403319,1,"39",180,18000,"ponds plastic","2023-03-31",15,NA
442403319,1,"75",355,22000,"ponds batches","2023-03-31",15,NA
442407668,1,"24",12,9000,"ponds","2023-02-28",6,NA
442407668,1,"75",49,10000,"ponds batches","2023-02-28",6,NA
442407668,1,"6",29,5000,"ponds","2023-02-28",6,NA
442407668,1,"30",143,5000,"ponds","2023-02-28",6,NA
442407668,1,"39",68,7000,"plastic","2023-02-28",6,NA
442407668,1,"8",25,7000,"batches","2023-02-28",6,NA
442407668,1,"59",116,5000,"ponds","2023-02-28",6,NA
442417388,1,"49",2,12000,"ponds","2023-06-15",23,NA
442417388,1,"39",3,8000,"ponds pool plastic","2023-06-15",23,NA
442417388,1,"6",1,12000,"ponds","2023-06-15",23,NA
442417388,1,"30",1,10000,"ponds","2023-06-15",23,NA
442417388,1,"77",1,12000,"pool plastic","2023-06-15",23,NA
442417388,2,"FM003",2,14000,"ponds batches","2023-06-15",23,NA
442417388,2,"FM023",0,35000,"ponds other","2023-06-15",23,NA
442433998,1,"46",5,8000,"ponds","2023-06-23",18,NA
442433998,1,"77",5,12000,"pool","2023-06-23",18,NA
442433998,1,"3",25,15000,"ponds","2023-06-23",18,NA
442433998,1,"24",20,12000,"ponds","2023-06-23",18,NA
442433998,2,"FM023",5,30000,"ponds","2023-06-23",18,NA
442433998,2,"FM027",3,12000,"soung","2023-06-23",18,NA
442433998,2,"FM003",37,25000,"batches","2023-06-23",18,NA
442433998,2,"FM001",5,30000,"batches","2023-06-23",18,NA
442487297,1,"39",4,7000,"other","2023-01-16",19,NA
442495211,1,"39",8,7000,"other","2023-02-16",19,NA
442499772,1,"39",9,7000,"other","2023-03-16",19,NA
442511262,1,"39",8,7000,"other","2023-04-16",19,NA
442524492,1,"39",50,16000,"ponds","2023-04-07",15,NA
442524492,1,"30",60,17000,"batches","2023-04-07",15,NA
442524492,1,"75",135,22000,"ponds batches","2023-04-07",15,NA
442527558,1,"30",60,16000,"batches","2023-04-13",15,NA
442527558,1,"39",50,16000,"ponds batches","2023-04-13",15,NA
442527558,1,"75",140,25000,"ponds batches","2023-04-13",15,NA
442530108,1,"30",60,16000,"batches","2023-04-21",15,NA
442530108,1,"39",50,16000,"ponds plastic","2023-04-21",15,NA
442530108,1,"75",135,24000,"ponds batches","2023-04-21",15,NA
442534638,1,"30",60,16000,"batches","2023-04-28",15,NA
442534638,1,"39",50,16000,"ponds plastic","2023-04-28",15,NA
442534638,1,"75",135,22000,"ponds batches","2023-04-28",15,NA
442542855,1,"24",21,10000,"ponds","2023-03-10",6,NA
442542855,1,"75",36,10000,"batches","2023-03-10",6,NA
442542855,1,"6",31,5000,"ponds","2023-03-10",6,NA
442542855,1,"30",364,5000,"ponds","2023-03-10",6,NA
442542855,1,"39",100,7000,"plastic","2023-03-10",6,NA
442542855,1,"8",59,7000,"batches","2023-03-10",6,NA
442542855,1,"59",221,5000,"ponds","2023-03-10",6,NA
442543281,1,"75",38,10000,"ponds batches","2023-03-03",6,NA
442543281,1,"24",25,10000,"ponds","2023-03-03",6,NA
442543281,1,"6",41,7500,"ponds","2023-03-03",6,NA
442543281,1,"8",26,7000,"ponds","2023-03-03",6,NA
442543281,1,"39",98,6500,"ponds plastic","2023-03-03",6,NA
442543281,1,"59",190,7000,"ponds batches","2023-03-03",6,NA
442543281,1,"30",250,7000,"ponds batches","2023-03-03",6,NA
442941185,1,"39",9,7000,"ponds pool plastic","2023-06-16",19,NA
443091646,1,"24",25,10000,"ponds","2023-03-24",6,NA
443091646,1,"75",38,10000,"batches","2023-03-24",6,NA
443091646,1,"6",30,5000,"ponds","2023-03-24",6,NA
443091646,1,"30",285,5000,"ponds","2023-03-24",6,NA
443091646,1,"39",150,7000,"plastic","2023-03-24",6,NA
443091646,1,"8",20,7000,"batches","2023-03-24",6,NA
443091646,1,"59",254,5000,"ponds","2023-03-24",6,NA
443260438,1,"59",44,5330,"ponds batches","2023-06-17",14,NA
443260438,1,"6",4,5330,"ponds","2023-06-17",14,NA
443260438,1,"30",353,5330,"ponds batches","2023-06-17",14,NA
443260438,1,"75",2,5330,"ponds","2023-06-17",14,NA
443260438,1,"8",8,5330,"ponds","2023-06-17",14,NA
443260438,1,"39",73,5330,"ponds pool plastic","2023-06-17",14,NA
443260438,1,"24",4,5330,"ponds","2023-06-17",14,NA
443260438,1,"49",3,5330,"ponds","2023-06-17",14,NA
443260438,1,"77",9,5330,"pool plastic","2023-06-17",14,NA
443260438,1,"89",11,5330,"ponds","2023-06-17",14,NA
443452127,1,"24",24,10000,"ponds","2023-03-30",6,NA
443452127,1,"75",40,10000,"ponds","2023-03-30",6,NA
443452127,1,"6",23,5000,"ponds","2023-03-30",6,NA
443452127,1,"30",144,5000,"ponds","2023-03-30",6,NA
443452127,1,"39",75,5000,"plastic","2023-03-30",6,NA
443452127,1,"8",20,7000,"batches","2023-03-30",6,NA
443452127,1,"59",140,5000,"ponds","2023-03-30",6,NA
443453699,1,"30",147,6000,"ponds","2023-06-23",21,NA
443453699,1,"6",92,10000,"ponds","2023-06-23",21,NA
443453699,1,"39",92,5000,"ponds pool","2023-06-23",21,NA
443453699,1,"888",37,7000,"ponds","2023-06-23",21,NA
443453699,1,"8",18,7000,"ponds","2023-06-23",21,NA
443453699,1,"77",18,10000,"pool plastic","2023-06-23",21,NA
443455332,1,"24",29,9000,"ponds","2023-04-07",6,NA
443455332,1,"75",29,9000,"ponds batches","2023-04-07",6,NA
443455332,1,"6",65,6500,"ponds","2023-04-07",6,NA
443455332,1,"30",114,5500,"ponds batches","2023-04-07",6,NA
443455332,1,"39",105,6500,"ponds plastic","2023-04-07",6,NA
443455332,1,"8",27,7000,"ponds","2023-04-07",6,NA
443455332,1,"59",144,5000,"ponds batches","2023-04-07",6,NA
443462964,1,"42",0,0,"ponds","2023-06-23",4,NA
443463991,1,"24",30,10000,"ponds","2023-04-12",6,NA
443463991,1,"75",31,10000,"ponds","2023-04-12",6,NA
443463991,1,"6",55,5000,"ponds","2023-04-12",6,NA
443463991,1,"30",99,5000,"ponds","2023-04-12",6,NA
443463991,1,"39",95,7000,"plastic","2023-04-12",6,NA
443463991,1,"8",27,7000,"batches","2023-04-12",6,NA
443463991,1,"59",124,5000,"ponds","2023-04-12",6,NA
443472475,1,"30",1,8000,"ponds","2023-09-08",11,NA
443472475,1,"39",0,8000,"ponds","2023-09-08",11,NA
443520309,1,"24",37,10000,"ponds","2023-04-20",6,NA
443520309,1,"75",31,10000,"ponds batches","2023-04-20",6,NA
443520309,1,"6",65,7000,"ponds","2023-04-20",6,NA
443520309,1,"30",129,5000,"ponds batches","2023-04-20",6,NA
443520309,1,"59",154,6000,"ponds batches","2023-04-20",6,NA
443520309,1,"39",105,6500,"ponds plastic","2023-04-20",6,NA
443520309,1,"8",27,7000,"ponds","2023-04-20",6,NA
443537930,1,"24",30,1000,"ponds batches","2023-04-28",6,NA
443537930,1,"75",33,10000,"ponds","2023-04-28",6,NA
443537930,1,"6",65,5000,"ponds","2023-04-28",6,NA
443537930,1,"30",114,5000,"ponds","2023-04-28",6,NA
443537930,1,"39",97,7000,"plastic","2023-04-28",6,NA
443537930,1,"8",27,7000,"batches","2023-04-28",6,NA
443537930,1,"59",154,5000,"ponds","2023-04-28",6,NA
443552899,1,"90",582,5000,"ponds plastic","2023-01-31",1,NA
443552899,1,"77",35,7000,"pool plastic","2023-01-31",1,NA
443552899,1,"77",1,5000,"plastic","2023-01-31",1,NA
443559480,1,"8",0,10000,"ponds","2023-06-23",24,NA
443559480,1,"6",0,10000,"ponds","2023-06-23",24,NA
443559480,1,"39",0,8000,"ponds","2023-06-23",24,NA
443559480,1,"77",0,12000,"pool plastic","2023-06-23",24,NA
443560040,1,"90",375,5000,"ponds","2023-02-28",1,NA
443560040,1,"77",11,7000,"pool","2023-02-28",1,NA
443576064,1,"89",0,0,"other","2023-01-31",5,NA
443578738,1,"90",186,5000,"ponds","2023-03-31",1,NA
443578738,1,"77",6,7000,"plastic","2023-03-31",1,NA
443580061,1,"888",0,0,"other","2023-02-28",5,NA
443584023,1,"90",0,0,"other","2023-03-31",5,NA
443586635,1,"90",93,13000,"ponds pool plastic","2023-04-30",5,NA
443588295,1,"30",1500,5000,"ponds","2023-06-23",12,NA
443588295,1,"59",410,8000,"batches","2023-06-23",12,NA
443590641,1,"90",343,10000,"ponds field pool plastic","2023-05-31",5,NA
443596490,1,"90",416,10000,"ponds field pool plastic","2023-06-15",5,NA
443596977,1,"90",106,5000,"ponds","2023-06-23",1,NA
443596977,1,"77",7,5000,"plastic","2023-06-23",1,NA
443648464,1,"90",3,8000,"ponds","2023-06-22",16,NA
443661771,1,"39",25,6000,"ponds pool plastic","2023-01-15",16,NA
443661771,1,"90",5,10000,"ponds","2023-01-15",16,NA
443669656,1,"39",20,6000,"ponds pool plastic","2023-02-15",16,NA
443678475,1,"39",11,65000,"ponds pool plastic","2023-03-15",16,NA
443678475,1,"90",2,10000,"ponds","2023-03-15",16,NA
443682718,1,"39",8,7000,"ponds pool plastic","2023-04-15",16,NA
443682718,1,"90",2,10000,"ponds","2023-04-15",16,NA
443687015,1,"888",5,7000,"ponds pool plastic","2023-05-15",16,NA
443729132,1,"75",139,9500,"ponds batches","2023-05-31",6,NA
443729132,1,"24",141,10000,"ponds batches","2023-05-31",6,NA
443729132,1,"6",387,7000,"ponds","2023-05-31",6,NA
443729132,1,"30",435,6500,"ponds batches","2023-05-31",6,NA
443729132,1,"39",408,6500,"ponds plastic","2023-05-31",6,NA
443729132,1,"8",266,6000,"ponds","2023-05-31",6,NA
443729132,1,"59",304,7000,"ponds batches","2023-05-31",6,NA
443907202,1,"90",148,8000,"ponds batches plastic","2023-06-15",10,NA
444735553,1,"90",193,8000,"ponds batches plastic","2023-03-31",10,NA
444736200,1,"90",187,8000,"ponds batches plastic","2023-04-30",10,NA
444737027,1,"90",270,8000,"ponds batches plastic","2023-05-31",10,NA
444745832,1,"30",2,7000,"ponds batches","2023-01-20",2,NA
444745832,1,"39",37,7000,"ponds batches","2023-01-20",2,NA
444745832,1,"75",25,13000,"ponds batches","2023-01-20",2,NA
444745832,1,"24",235,10000,"ponds batches","2023-01-20",2,NA
444750530,1,"24",80,20000,"ponds batches","2023-01-31",6,NA
444750530,1,"75",133,10000,"ponds batches","2023-01-31",6,NA
444750530,1,"6",80,5000,"ponds","2023-01-31",6,NA
444750530,1,"39",294,7000,"ponds plastic","2023-01-31",6,NA
444750530,1,"8",50,7000,"ponds","2023-01-31",6,NA
444750530,1,"59",380,5000,"ponds batches","2023-01-31",6,NA
444750530,1,"30",377,5000,"ponds batches","2023-01-31",6,NA
444750530,1,"77",6,1000,"pool plastic","2023-01-31",6,NA
444756801,1,"77",1,8000,"pool plastic","2023-07-03",6,NA
444756801,1,"75",25,8500,"ponds batches","2023-07-03",6,NA
444756801,1,"30",300,7500,"ponds batches","2023-07-03",6,NA
444756801,1,"6",250,8500,"ponds batches","2023-07-03",6,NA
444756801,1,"8",300,8000,"ponds","2023-07-03",6,NA
444756801,1,"39",50,6000,"ponds plastic","2023-07-03",6,NA
444812772,1,"8",1,8000,"ponds","2023-01-15",24,NA
444812772,1,"6",1,8000,"ponds","2023-01-15",24,NA
444812772,1,"39",1,7000,"ponds pool plastic","2023-01-15",24,NA
444812772,1,"77",1,11000,"pool plastic","2023-01-15",24,NA
444819152,1,"8",2,8000,"ponds","2023-02-15",24,NA
444819152,1,"6",1,8000,"ponds","2023-02-15",24,NA
444819152,1,"39",1,7000,"ponds pool plastic","2023-02-15",24,NA
444819152,1,"77",1,12000,"pool plastic","2023-02-15",24,NA
444826316,1,"8",1,9000,"ponds","2023-03-15",24,NA
444826316,1,"6",1,9000,"ponds","2023-03-15",24,NA
444826316,1,"39",1,8000,"ponds pool plastic","2023-03-15",24,NA
444826316,1,"77",1,12000,"pool plastic","2023-03-15",24,NA
444832093,1,"8",3,10000,"ponds","2023-04-15",24,NA
444832093,1,"6",2,10000,"ponds","2023-04-15",24,NA
444832093,1,"39",3,8000,"ponds pool plastic","2023-04-15",24,NA
444832093,1,"77",1,12000,"pool plastic","2023-04-15",24,NA
